
using device: mps
loaded 338025 tokens
1 epoch = 20 batches
num decayed parameter tensors: 50, with 124,354,560 parameters
num non-decayed parameter tensors: 98, with 121,344 parameters
using fused AdamW: False
./train_get2.py:330: UserWarning: torch.nn.utils.clip_grad_norm is now deprecated in favor of torch.nn.utils.clip_grad_norm_.
  norm = torch.nn.utils.clip_grad_norm(model.parameters(), 1.0)
step216 | loss: 4.12835693359375 | dt: 2502.22ms | tok/sec:  6547.79 | norm: 1.81
step217 | loss: 4.098355293273926 | dt: 2513.45ms | tok/sec:  6518.54 | norm: 1.62
step218 | loss: 4.101040840148926 | dt: 2513.15ms | tok/sec:  6519.31 | norm: 2.01
step219 | loss: 3.915663480758667 | dt: 2491.94ms | tok/sec:  6574.80 | norm: 2.44
step220 | loss: 4.374574184417725 | dt: 2521.81ms | tok/sec:  6496.91 | norm: 2.24
step221 | loss: 4.145750045776367 | dt: 2471.86ms | tok/sec:  6628.21 | norm: 3.43
step222 | loss: 4.206500053405762 | dt: 2503.97ms | tok/sec:  6543.21 | norm: 2.06
step223 | loss: 4.019829750061035 | dt: 2482.66ms | tok/sec:  6599.38 | norm: 2.04
step224 | loss: 3.903292179107666 | dt: 2521.22ms | tok/sec:  6498.43 | norm: 2.28
step225 | loss: 4.0124077796936035 | dt: 2471.56ms | tok/sec:  6629.01 | norm: 1.68
step226 | loss: 4.204227447509766 | dt: 2529.21ms | tok/sec:  6477.91 | norm: 2.59
step227 | loss: 4.056502819061279 | dt: 2464.77ms | tok/sec:  6647.27 | norm: 1.95
step228 | loss: 4.054948329925537 | dt: 2507.07ms | tok/sec:  6535.12 | norm: 1.91
step229 | loss: 4.011509418487549 | dt: 2467.43ms | tok/sec:  6640.10 | norm: 2.08
step230 | loss: 3.975433349609375 | dt: 2504.71ms | tok/sec:  6541.29 | norm: 1.70
step231 | loss: 3.987841844558716 | dt: 2448.78ms | tok/sec:  6690.69 | norm: 2.32
step232 | loss: 3.7698328495025635 | dt: 2496.72ms | tok/sec:  6562.21 | norm: 1.80
step233 | loss: 4.265227317810059 | dt: 2438.32ms | tok/sec:  6719.37 | norm: 2.72
step234 | loss: 4.323177337646484 | dt: 2476.74ms | tok/sec:  6615.13 | norm: 2.68
step235 | loss: 4.038414001464844 | dt: 2473.13ms | tok/sec:  6624.80 | norm: 2.31
step236 | loss: 3.949962615966797 | dt: 2487.43ms | tok/sec:  6586.73 | norm: 2.76
step237 | loss: 3.8792853355407715 | dt: 2498.29ms | tok/sec:  6558.08 | norm: 2.24
step238 | loss: 3.941347360610962 | dt: 2503.47ms | tok/sec:  6544.52 | norm: 3.08
step239 | loss: 3.802344799041748 | dt: 2463.01ms | tok/sec:  6652.02 | norm: 2.08
step240 | loss: 4.168428421020508 | dt: 2521.54ms | tok/sec:  6497.61 | norm: 2.36
step241 | loss: 3.971569061279297 | dt: 2481.90ms | tok/sec:  6601.38 | norm: 2.00
step242 | loss: 3.9455549716949463 | dt: 2477.27ms | tok/sec:  6613.74 | norm: 1.89
step243 | loss: 3.7996022701263428 | dt: 2461.24ms | tok/sec:  6656.81 | norm: 2.32
step244 | loss: 3.684241771697998 | dt: 2466.46ms | tok/sec:  6642.71 | norm: 1.83
step245 | loss: 3.771289348602295 | dt: 2457.95ms | tok/sec:  6665.71 | norm: 2.26
step246 | loss: 4.026172637939453 | dt: 2457.16ms | tok/sec:  6667.86 | norm: 2.60
step247 | loss: 3.838195323944092 | dt: 2450.41ms | tok/sec:  6686.23 | norm: 2.20
step248 | loss: 3.853769540786743 | dt: 2451.72ms | tok/sec:  6682.67 | norm: 2.01
step249 | loss: 3.8273940086364746 | dt: 2463.64ms | tok/sec:  6650.31 | norm: 2.93
step250 | loss: 3.736732006072998 | dt: 2457.96ms | tok/sec:  6665.70 | norm: 2.29
step251 | loss: 3.7983179092407227 | dt: 2458.79ms | tok/sec:  6663.45 | norm: 1.98
step252 | loss: 3.569570779800415 | dt: 2459.91ms | tok/sec:  6660.41 | norm: 2.37
step253 | loss: 4.128811359405518 | dt: 2452.26ms | tok/sec:  6681.18 | norm: 3.09
step254 | loss: 4.162761688232422 | dt: 2438.55ms | tok/sec:  6718.76 | norm: 2.20
step255 | loss: 3.875966787338257 | dt: 2452.81ms | tok/sec:  6679.68 | norm: 2.59
